SR041499,18.260,363829,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CASTANHEIRA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,12/03/2025,,CRISTIANO,05/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR025668,27.260,376510,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CASTANHEIRA LTDA,CLIENTE,P,PAGO,NÃO TEM,FLACH - 04/02/2026,23/01/2026,1020827,CRISTIANO,01/04/2026,16:00,,CORTESIA,376503,TIRAR TOMADA RAPTOR,,,,,,,,,,,,,,,,,
TR025690,27.260,376380,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CASTANHEIRA LTDA,CLIENTE,P,PAGO,NÃO TEM,FLACH - 04/02/2026,23/01/2026,1020826,CRISTIANO,01/04/2026,16:00,,CORTESIA,376381,TIRAR TOMADA RAPTOR,,,,,,,,,,,,,,,,,
TR022388,26.260,379275,OUTRO,TRUE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A.,CLIENTE,P,PAGO,NÃO TEM,,20/02/2026,1025580,RUI,08/04/26,16:00,,"R$ 10.000,00",379173,"SOFA CAMA, TAPETES, CHINIL, INFUSILME, MANGUEIRA DE SOPRAR, CALHA E CORTINAS",,,,,,,,,,,,,,,,,
TR019289,26.260,379276,OUTRO,TRUE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A.,CLIENTE,P,PAGO,NÃO TEM,,20/02/2026,1025576,RUI,09/04/2026,10:00,,"R$ 10.000,00",379173,"SOFA CAMA, TAPETES, CHINIL, INFUSILME, MANGUEIRA DE SOPRAR, CALHA E CORTINAS",,,,,,,,,,,,,,,,,
TR017799,26.260,379277,OUTRO,TRUE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A.,CLIENTE,P,PAGO,NÃO TEM,,20/02/2026,1025570,RUI,10/04/2026,08:00,,"R$ 10.000,00",379173,"SOFA CAMA, TAPETES, CHINIL, INFUSILME, MANGUEIRA DE SOPRAR, CALHA E CORTINAS",,,,,,,,,,,,,,,,,
TR019413,26.260,376884,OUTRO,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A.,CLIENTE,P,PAGO,NÃO TEM,,29/01/2026,1021834,RUI,23/04/2026,09:00,,"R$ 10.000,00",,"SOFA CAMA, TAPETES, CHINIL, INFUSILME, MANGUEIRA DE SOPRAR, CALHA E CORTINAS",,,,,,,,,,,,,,,,,
TR019309,26.260,376784,OUTRO,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A.,CLIENTE,P,PAGO,NÃO TEM,,29/01/2026,1021845,RUI,25/04/2026,16:00,,"R$ 10.000,00",376649,"AR CONDICIONADO, SOFA CAMA",,,,,,,,,,,,,,,,,
TR022306,26.260,379603,OUTRO,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S.A. ,CLIENTE,P,PAGO,NÃO TEM,,20/02/2026,1025581,RUI,14/04/2026,16:00,,"R$ 10.000,00",,"SOFA CAMA, TAPETES, CHINIL, INFUSILME, MANGUEIRA DE SOPRAR, CALHA E CORTINAS",,,,,,,,,,,,,,,,,
TR001390,27.260,365177,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,07/02/2025,,RUI,28/05/2025,17:00,,,,,,,,,,,,,,,,,,,,,
SR037279,18.260,363517,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,31/01/2025,,RUI,02/05/2025,10:00,,,,,,,,,,,,,,,,,,,,,
SR026112,18.260,362277,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,EMBARCOU P/ SERTAOZINHO,31/01/2025,,RUI,03/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR037277,18.260,363981,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,pipa preto,31/01/2025,,RUI,08/05/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR033342,18.260,363844,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,31/01/2025,959263,RUI,07/05/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR001775,27.260,365608,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,07/02/2025,,RUI,05/06/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR001195,27.260,362278,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,NÃO DISPONIVEL,07/02/2025,,RUI,03/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR000988,27.260,363418,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,07/02/2025,,RUI,28/04/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR001612,27.260,362901,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,PREVISÃO 14/04 - BELCAR,07/02/2025,,RUI,16/04/2025,10:00,,,,,,,,,,,,,,,,,,,,,
TR001386,27.260,362902,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,PREVISÃO 14/04 - BELCAR,07/02/2025,,RUI,16/04/2025,10:00,,,,,,,,,,,,,,,,,,,,,
TR001235,27.260,363419,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,,07/02/2025,,RUI,29/04/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR001024,27.260,362276,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,NÃO TEM,NÃO DISPONIVEL,07/02/2025,,RUI,03/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR021313,30.320,364977,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,REALIZADA,,19/02/2025,,RUI,27/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR202395,29.530,,NENHUM,FALSE,ENTREGUE,CONSTRUTORA CENTRO LESTE S/A,CLIENTE,NÃO,PAGO,REALIZADA,JRV,,971135,RUI,,,,,,,,,,,,,,,,,,,,,,,
SR026524,18.160,359747,NENHUM,FALSE,ENTREGUE,CONSTRUTORA E PRE DE SERV EURO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,JRV,19/02/2025,,GUILHERME,09/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR036970,18.260,360947,NENHUM,FALSE,ENTREGUE,CONSTRUTORA E PRE DE SERV EURO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,19/02/2025,,GUILHERME,09/04/2025,14:00,,,,,,,,,,,,,,,,,,,,,
SR202661,29.530,371212,NENHUM,FALSE,ENTREGUE,CONSTRUTORA E PRE DE SERV EURO LTDA,CLIENTE,OK,PAGO,TEM,PATRICIA VAI FAZER CAMPANHA,16/09/2025,1000034,GUILHERME,15/10/2025,16:00,,"R$ 30.000,00",371138,SAIA LATERAL - DEFLETOR MAIOR - RODAS DE ALUMINIO COM CAPA PARA PORCAS - BUZINA MARITIMA - INSULFILM - CHINIL PARA BANCOS E PAINEL - TAPETES PREMIUM E PARALAMAS ,,,,,,,,,,,,,,,,,
TR003679,27.260,366851,NENHUM,FALSE,ENTREGUE,CONSTRUTORA E PRE DE SERV EURO LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,,30/06/2025,986115,GUILHERME,23/07/2025,16:00,,"R$ 27.000,00",366853,"CHINIL BANCOS E PAINEL, TAPETES PREMIUM, BUZINA MARITIMA, SOM, INSULFIME, 6 RODAS DE ALUMINIO FORJADA, PINTURA IGUAL AO OUTRO",,,,,,,,,,,,,,,,,
TR005291,26.260,364834,NENHUM,FALSE,ENTREGUE,CONSTRUTORA PERFIL LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/03/2025,,GUSTAVO,02/06/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR005252,26.260,364706,NENHUM,FALSE,ENTREGUE,CONSTRUTORA PERFIL LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/03/2025,,GUSTAVO,26/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR005574,26.260,364833,NENHUM,FALSE,ENTREGUE,CONSTRUTORA PERFIL LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/03/2025,,GUSTAVO,02/06/2025,14:00,,,,,,,,,,,,,,,,,,,,,
TR005387,26.260,364707,NENHUM,FALSE,ENTREGUE,CONSTRUTORA PERFIL LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,27/03/2025,,GUSTAVO,26/05/2025,16:00,,,,,,,,,,,,,,,,,,,,,
TR020213,31.320,379123,FLACH,FALSE,ENTREGUE,CONSTRUTORA PERFIL LTDA,CLIENTE,N,PAGO,NÃO TEM,,05/01/2026,1017435,RUI,06/04/26,13:30,,,,,,,,,,,,,,,,,,,,,
TR003005,27.260,361524,CAÇAMBA - JRV,TRUE,ENTREGUE,CONSTRUTORA RASSI LTDA,CLIENTE,N,PAGO,,,04/02/2026,1023180,PAULO,09/02/2026,13:30,,,,,,,,,,,,,,,,,,,,,
TR029251,31.320,379272,CAÇAMBA - JRV,FALSE,ENTREGUE,CONSTRUTORA RASSI LTDA,CLIENTE,N,PAGO,,,24/03/2026,1030891,PAULO,30/03/2026,09:00,,,,,,,,,,,,,,,,,,,,,
SR005845,25.480,364991,NENHUM,FALSE,ENTREGUE,COOPERATIVA A DA B L I C V DE ITABERAI,CLIENTE,NÃO,PAGO,REALIZADA,CLIENTE NÃO DECIDIU SOBRE ACESSÓRIOS,19/05/2025,978126,EURIPEDES,17/07/2025,09:00,,"R$ 5.000,00",,CLIENTE NÃO DECIDIU SOBRE ACESSÓRIOS,,,,,,,,,,,,,,,,,
SR037023,18.260,363701,NENHUM,FALSE,ENTREGUE,COOPERATIVA A M DE BELA VISTA DE GOIAS,CLIENTE,NÃO,PAGO,NÃO TEM,,28/04/2025,974479,LUIZ CLAUDIO,06/05/2025,14:00,,"R$ 2.000,00",,"TAPETE, CHINIL E SOPRADOR - PARAMETRIZAÇÃO (5MIN DESLIGA)IGUAL AO OUTRO - CLIENTE",,,,,,,,,,,,,,,,,
SR037031,18.260,360978,NENHUM,FALSE,ENTREGUE,COOPERATIVA A M DE BELA VISTA DE GOIAS,CLIENTE,NÃO,PAGO,NÃO TEM,,8/4/2025,971324,LUIZ CARLOS,15/04/2025,08:00,,,,,,,,,,,,,,,,,,,,,
VR001808,30.320,,18/02/26,,ENTREGUE,COOPERATIVA AGROPEC MISTA DE PIRACANJUBA - COAPIL,CLIENTE,,,21/05/2026,1040580,LUIZ CLAUDIO,PAGO,OK,382198,NÃO TEM,"R$ 3.000,00","TAPETES, CHINIL, SOPRADOR E INSULFILME",,,,,,,,,,,,,,,,,,,
TR014874,30.320,366421,NENHUM,FALSE,ENTREGUE,COOPERATIVA AGROPECUARIA MISTA DE PIRACANJUBA - COAPIL,CLIENTE,NÃO,PAGO,NÃO TEM,,11/06/2025,982842,LUIZ CLAUDIO,23/07/2025,09:00,,"R$ 2.500,00",,,,,,,,,,,,,,,,,,,
TR015841,18.260,372224,NENHUM,FALSE,ENTREGUE,COOPERATIVA MISTA A DE PALMINOPOLIS,CLIENTE,OK,PAGO,NÃO TEM,,13/10/2025,1004524,EURIPEDES,27/10/2025,09:00,,"R$ 5.000,00",372223,"SOM, TAPETE VINIL MOEDA, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME E CALHA DE CHUVA",,,,,,,,,,,,,,,,,
TR002438,9.180,373126,NENHUM,FALSE,ENTREGUE,COOPERATIVA MISTA A DE PALMINOPOLIS,CLIENTE,OK,PAGO,NÃO TEM,FLASH - 22/10/2025,13/10/2025,1004525,EURIPEDES,10/11/2025,09:00,,"R$ 5.000,00",373127,"TAPETE VINIL MOEDA, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME E CALHA DE CHUVA",,,,,,,,,,,,,,,,,
TR203002,29.530,376666,NENHUM,FALSE,ENTREGUE,COSTA E TAVARES TRANSPORTES RODOVIARIOS DE CARGAS LTDA,CLIENTE,N,PAGO,NÃO TEM,,30/01/2026,1022253,MARIANA,05/02/2026,11:00,,,,,,,,,,,,,,,,,,,,,
TR018499,9.180,376165,NENHUM,FALSE,ENTREGUE,CR BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,CLIENTE,N,PAGO,NÃO TEM,,20/01/2026,1020222,CARLOS,,,,,,,,,,,,,,,,,,,,,,,
VR006368,11.180,,NENHUM,FALSE,ENTREGUE,CREAMY INDUSTRIA E COMERCIO DE SORVETES,CLIENTE,N,PAGO,NÃO TEM,,13/05/2026,1039304,JORGE,21/05/26,16:00,,,,,,,,,,,,,,,,,,,,,
VR006368,11.180,381979,NENHUM,FALSE,ENTREGUE,CREAMY INDUSTRIA E COMERCIO DE SORVETES,CLIENTE,N,PAGO,NÃO TEM,,13/05/2026,1039304,JORGE,21/05/26,16:00,,,,,,,,,,,,,,,,,,,,,
TR000443,30.320,362128,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,14/03/2025,,LUIZ CARLOS,03/06/2025,10:00,,INTERNO,,"2 TANQUES, ENTRE EIXO PARA BAU DE 9,5 INSULFILM E INTERCLIMA E EMPLACAMENTO COM INMETRO BELCAR CAMINHOES",,,,,,,,,,,,,,,,,
TR010276,30.320,366850,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,26/06/2025,985280,LUIZ CARLOS,,,,CORTESIA,366856,"2 TANQUES, ENTRE EIXO DE 9,5, INSUFILME, INTERCLIMA",,,,,,,,,,,,,,,,,
TR021742,30.320,382324,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,N,PAGO,,,25/05/2026,1041236,LUIZ CARLOS,28/05/26,13:30,,,,,,,,,,,,,,,,,,,,,
VR005856,30.320,BRANCO GEADA,28/02/26,,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,,,12/06/2026,1044675,JOSUE,,,,TEM,,Carta DVM AT 010-26 - Ação de Campo - Substituição do elemento do filtro de ar do motor - Constellation - 1 Item(s),,,,,,,,,,,,,,,,,,,
9536C8TDXVR012203,30.320,BRANCO GEADA,12/05/26,,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,,,12/06/2026,1044677,JOSUE,,,,NÃO TEM,,,,,,,,,,,,,,,,,,,,,
VR003293,30.320,BRANCO GEADA,,,ENTREGUE,CRISTAL ALIMENTOS LTDA,CLIENTE,,,12/06/2026,1044677,JOSUE,,,,NÃO TEM,,,,,,,,,,,,,,,,,,,,,
TR003240,30.320,362341,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,JRV - 14/04/2025,13/03/2025,,LUIZ CARLOS,06/05 - 08:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR010076,30.320,366974,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,,26/06/2025,985279,LUIZ CARLOS,,,,CORTESIA,366975,"2 TANQUES, ENTRE EIXO DE 9,5, INSUFILME, INTERCLIMA",,,,,,,,,,,,,,,,,
TR010851,30.320,366978,NENHUM,FALSE,ENTREGUE,CRISTAL ALIMENTOS LTDA ,CLIENTE,NÃO,PAGO,NÃO TEM,,26/06/2025,985278,LUIZ CARLOS,,,,CORTESIA,366979,"2 TANQUES, ENTRE EIXO DE 9,5, INSUFILME, INTERCLIMA",,,,,,,,,,,,,,,,,
SR203765,29.530,363450,NENHUM,FALSE,ENTREGUE,CRISTAL DISTRIBUIDORA LTDA - TFG4I12,CLIENTE,NÃO,PAGO,NÃO TEM,SHOWROOM,15/04/2025,972620,EURIPEDES,06/05 - 10:00 HORAS,,,"R$ 5.000,00",,VOUCHER - PARAMETRIZAÇÃO / DEFLETOR CEGONHEIRO CORTESIA E-MAIL?,,,,,,,,,,,,,,,,,
TR023307,25.480,380923,NENHUM,FALSE,ENTREGUE,CW3 TRANSPORTES E LOGISTICA LTDA,CLIENTE,P,PAGO,,,27/04/2026,1036645,CRISTIANO,04/05/2026,16:00,,CORTESIA,380924,VINIL E CHINIL,,,,,,,,,,,,,,,,,
VR006275,14.180,379305,NENHUM,FALSE,ENTREGUE,D & M LOCACAO DE EQUIPAMENTOS LTDA,CLIENTE,N,PAGO,,,27/03/2026,1031639,PAULO,31/03/2026,09:00,,,,,,,,,,,,,,,,,,,,,
TR035390,11.180,378190,BAU - JRV,FALSE,ENTREGUE,D E R PRODUTOS DE LIMPEZA LTDA - USADO,CLIENTE,N,PAGO,NÃO TEM,,,,GUILHERME,09/03/2026,13:30,,,,,,,,,,,,,,,,,,,,,
TR017368,20.480,375989,NENHUM,FALSE,ENTREGUE,D V MARQUES E TRANSPORTES LTDA - FALTANDO CP BANCO,CLIENTE,OK,PAGO,,,15/01/2026,1019272,JORGE,21/01/26 - 16:00 HORAS,,,"R$ 5.000,00",375941,"TAPA CHINELO, INSUFILME, CHINIL, MANGUEIRA DE SOPRAR E VERNIZ",,,,,,,,,,,,,,,,,
TR201805,28.480,368095,NENHUM,FALSE,ENTREGUE,DAIZEN AGRONEGOCIOS LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,02/07/2025,,,04/08 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR201331,29.530,363858,NENHUM,FALSE,ENTREGUE,DCRIST TRANSPORTES DE CARGAS LTDA,CLIENTE,NÃO,PAGO,REALIZADA,VAI P/ ITUMBIARA,30/04/2025,975124,FRANK,,,,"R$ 1.260,00",,TAPETE PREMIUM E INSUFILME,,,,,,,,,,,,,,,,,
TR005228,11.180,375910,NENHUM,FALSE,ENTREGUE,DELPS TRANSPORTES E LOGISTICA LTDA,CLIENTE,NÃO,PAGO,,,12/01/2026,1018571,CARLOS,21/01/26 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR004705,11.180,368642,NENHUM,FALSE,ENTREGUE,DELPS TRANSPORTES E LOGISTICA LTDA ,CLIENTE,N,PAGO,NÃO TEM,,16/03/2026,1029644,CARLOS,,,,,,,,,,,,,,,,,,,,,,,
TR024833,17.230 OD,374491,NENHUM,FALSE,ENTREGUE,DGEP - EMPREENDIMENTOS E PARTICIPACOES LTDA,CLIENTE,OK,PAGO,NÃO TEM,ENTREGA PELA JRV,16/12/2025,1015292,PAULO,23/12 - ENTREGUE NA JRV,,,CORTESIA,374492,ESTEPE E KIT FERRAMENTAS,,,,,,,,,,,,,,,,,
TR024753,17.230 OD,374489,NENHUM,FALSE,ENTREGUE,DGEP - EMPREENDIMENTOS E PARTICIPACOES LTDA,CLIENTE,OK,PAGO,NÃO TEM,ENTREGA PELA JRV,16/12/2025,1015287,PAULO,23/12 - ENTREGUE NA JRV,,,CORTESIA,374494,ESTEPE E KIT FERRAMENTAS,,,,,,,,,,,,,,,,,
TR025319,27.260,373013,NENHUM,FALSE,ENTREGUE,DIAMETRO CONSTRUCOES ENGENHARIA E FUNDACOES ESPECIAIS LTDA,CLIENTE,OK,PAGO,NÃO TEM,,03/10/2025,1003226,DOUGLAS,06/11 - 16:00 HORAS,,,,,PARAMETRIZAÇÃO,,,,,,,,,,,,,,,,,
VR003872,14.180,378317,NENHUM,FALSE,ENTREGUE,DIONE MARCIANO DE BRITO,CLIENTE,P,PAGO,NÃO TEM,,09/03/2026,1028432,GUILHERME,17/03/2026,09:00,,"R$ 5.000,00",378444,"VINIL, CHINIL, SOPRADOR, INSUFILME, CALHA DE CHUVA, CORTINA",,,,,,,,,,,,,,,,,
TR011616,26.320,371633,NENHUM,FALSE,ENTREGUE,DISTAK ATACAREJO LTDA,CLIENTE,OK,PAGO,NÃO TEM,,30/09/2025,1002508,CARLOS,10/10 - 09:00 HORAS,,,"R$ 5.000,00",371634,"TAPETE, CHINIL, MANGUEIRA DE SOPRAR, INSUFILME E COPO, TANQUE AUXILIAR",,,,,,,,,,,,,,,,,
TR016621,20.480,366778,NENHUM,FALSE,ENTREGUE,DISTRIBUIDORA DE CARNES MAZERO LTDA,CLIENTE,NÃO,PAGO,TEM,ITUMBIARA,29/10/2025,1007412,MARIANA,ITUMBIARA - 07/11 - WANDERSON,,,,,,,,,,,,,,,,,,,,,,
SR037451,9.180,376098,NENHUM,FALSE,ENTREGUE,DISTRIBUIDORA DE DOCES IMPERIAL LTDA - COLOCAR ACESSÓRIOS,CLIENTE,S,PAGO,NÃO TEM,,19/01/2026,1019890,EURIPEDES,03/03/26,09:00,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,
VR001634,26.320,,NENHUM,FALSE,ENTREGUE,DIVINO PEREIRA PIRES,CLIENTE,A,PAGO,NÃO TEM,,16/04/2026,1034888,LUIZ CLAUDIO,05/05/2026,13:30,,"R$ 6.000,00",380599,"VINIL, CHINIL E PARAMETRIZAÇÃO TANQUE DE LEITE",,,,,,,,,,,,,,,,,
TR016047,30.320,372439,CAÇAMBA - JRV,FALSE,ENTREGUE,DJALMA RIBEIRO DE SOUZA,CLIENTE,NÃO,PAGO,NÃO TEM,JRV - 23/10,17/10/2025,1005601,GUILHERME,05/01/2026 - 16:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
SR035952,9.180,371522,NENHUM,FALSE,ENTREGUE,DJFCAR CENTRO AUTOMOTIVO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,26/09/2025,1002016,LUIZ CARLOS,01/10/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR031456,9.180,362969,NENHUM,FALSE,ENTREGUE,DJFCAR CENTRO AUTOMOTIVO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,26/09/2025,1001960,LUIS CARLOS,01/10/2025,16:00,,,,,,,,,,,,,,,,,,,,,
SR203852,29.530,371828,NENHUM,FALSE,ENTREGUE,DJFCAR CENTRO AUTOMOTIVO LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,03/10/2025,1003216,LUIZ CARLOS,10/10 - 13:30 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR201771,28.480,376229,NENHUM,FALSE,ENTREGUE,DOMINGOS E CUNHA TRANSPORTES LTDA,CLIENTE,P,PAGO,REALIZADA,CHEILA,22/01/2026,1020518,MARIANA,30/01/26 - 10:00 HORAS,,,CORTESIA,376223,DEFLETOR TETO,,,,,,,,,,,,,,,,,
TR011570,9.180,375102,NENHUM,FALSE,ENTREGUE,DR GELADOS LTDA,CLIENTE,P,PAGO,NÃO TEM,,19/12/2025,1015867,JORGE,04/02/26 - 13:30 HORAS,,,"R$ 5.000,00",375104,"VINIL, MOEDA, CHINIL, SOPRADOR, ISNUFILME E CALHA DE CHUVA",,,,,,,,,,,,,,,,,
SR042395,EXPRESS,361897,NENHUM,FALSE,ENTREGUE,DUDU OLIVEIRA LOC DE MOB E OBJETOS -  ABRIR OS. ALTERNADOR - FERNANDO,CLIENTE,NÃO,PAGO,NÃO TEM,,15/05/2025,977801,GUSTAVO,18/06 - 14:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
TR011697,26.260,379946,CAÇAMBA - FACCHINI,TRUE,ENTREGUE,ECO FABERR CONSTRUTORA FABRICACAO E COM DE ARTEFATOS DE SOLO,CLIENTE,P,PAGO,NÃO TEM,,24/03/2026,1030828,PAULO,14/04/2026,16:00,,"R$ 5.000,00",379832,"CHINIL BANCOS E PAINEL, VERNIZ, SOPRADOR, MOEDA, INSULFILM, SOM E CORTINA",,,,,,,,,,,,,,,,,
TR004828,11.180,364553,NENHUM,FALSE,ENTREGUE,ECOPETRO AMBIENTAL LTDA,CLIENTE,NÃO,PAGO,PINTAR,,08/05/2025,976395,CARLOS,19/05 - 14:00 HORAS,,,,,"TAPETE, CHINIL, INSUFILME E SOPRADOR",,,,,,,,,,,,,,,,,
TR002484,26.320,364485,NENHUM,FALSE,ENTREGUE,ECOPETRO AMBIENTAL LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,12/05/2025,976977,CARLOS,19/05 - 14:00 HORAS,,,VOUCHER,,"TAPETE, CHINIL, INSUFILME, SOPRADOR E INTERCLIMA (SE NÃO TIVER)",,,,,,,,,,,,,,,,,
TR015199,20.480,368641,NENHUM,FALSE,ENTREGUE,ECOPLAST INDUSTRIA E COMERCIO DE PVC LTDA.,CLIENTE,NÃO,PAGO,TEM,ITUMBIARA,31/10/2025,1008098,MARIANA,ITUMBIARA - 07/11 - WANDERSON,,,,,,,,,,,,,,,,,,,,,,
TR009819,18.320,374422,NENHUM,FALSE,ENTREGUE,EDGAR NOGUEIRA NEVES,CLIENTE,OS.,PAGO,NÃO TEM,CLIENTE PEGOU - 02/12,28/11/2025,1012616,LUIZ CLAUDIO,06/12 - 10:00 HORAS,,,"R$ 8.000,00",374419,"PARAMETRIZACAO,  BUZINA SIMPLES A AR, TAPETE VINIL, MANGUEIRA DE SOPARA E INSUFILME",,,,,,,,,,,,,,,,,
TR023612,25.480,381023,NENHUM,FALSE,ENTREGUE,EDILSON EMERICH PAZINI LTDA,CLIENTE,N,PAGO,,,30/04/0206,1037483,RUI,07/05/2026,09:00,,,VOUCHER ,,,,,,,,,,,,,,,,,,
TR028412,25.480,378539,NENHUM,FALSE,ENTREGUE,EDSON LOURENCO DE SOUZA - FALHAS PAINEL,CLIENTE,N,PAGO,TEM,Circular AT 049-25,16/03/2026,1029540,FUTURA VENDA,,,,,,,,,,,,,,,,,,,,,,,
SR203215,28480,361187,NENHUM,FALSE,ENTREGUE,EDUARDO RODRIGUES NETO,CLIENTE,NÃO,PAGO,NÃO TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
SR013435,9180,347686,NENHUM,FALSE,ENTREGUE,EDY GUINCHOS E TRANSPORTES LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
VR001053,30.320,380217,NENHUM,FALSE,ENTREGUE,ELCIO D DA SILVA LTDA,CLIENTE,P,PAGO,NÃO TEM,,10/04/2026,1033978,EURIPEDES,22/04/2026,13:30,,"R$ 10.000,00",,PARAMETRIZAÇÃO - silo graneleiro,,,,,,,,,,,,,,,,,
TR020713,17.210,368056,NENHUM,FALSE,ENTREGUE,ELCOP ENGENHARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,FROTA 3461 - GO - 28/07,22/07/2025,695719,CARLOS,,,,,,,,,,,,,,,,,,,,,,,
TR020653,17.210,368096,NENHUM,FALSE,ENTREGUE,ELCOP ENGENHARIA LTDA,CLIENTE,NÃO,PAGO,NÃO TEM,FROTA 3648 - GO - 28/07,22/07/2025,695718,CARLOS,,,,,,,,,,,,,,,,,,,,,,,
TR030530,17.210,376209,NENHUM,FALSE,ENTREGUE,ELETROAGRO MONTAGENS ELETRICAS LTDA,CLIENTE,N,PAGO,NÃO TEM,,21/01/2026,1020401,CRISTIANO,29/01/26 - 09:00 HORAS,,,,,,,,,,,,,,,,,,,,,,
